,state,action_space,reward,Q,action
0,"[0, 0]",d,0,0.0,1
1,"[0, 1]",d,0,0.0,1
2,"[0, 2]",l,-1,-0.01,2
3,"[0, 0]",d,0,0.0,1
4,"[0, 1]",u,0,0.0,0
5,"[0, 0]",u,0,0.0,0
6,"[0, 0]",r,0,0.0,3
7,"[0, 0]",r,0,0.0,3
8,"[0, 0]",u,0,0.0,0
9,"[0, 0]",l,0,0.0,2
10,"[1, 0]",r,0,0.0,3
11,"[0, 0]",u,0,0.0,0
12,"[0, 0]",l,0,0.0,2
13,"[1, 0]",r,0,0.0,3
14,"[0, 0]",d,0,0.0,1
15,"[0, 1]",d,0,0.0,1
16,"[0, 2]",d,0,0.0,1
17,"[0, 3]",l,0,0.0,2
18,"[1, 3]",l,0,0.0,2
19,"[2, 3]",u,1,0.01,0
20,"[0, 0]",l,0,0.0,2
21,"[1, 0]",d,0,0.0,1
22,"[1, 1]",d,-1,-0.01,1
23,"[0, 0]",d,0,0.0,1
24,"[0, 1]",r,0,0.0,3
25,"[0, 1]",d,0,0.0,1
26,"[0, 2]",d,0,0.0,1
27,"[0, 3]",d,0,0.0,1
28,"[0, 3]",r,0,0.0,3
29,"[0, 3]",l,0,0.0,2
30,"[1, 3]",r,0,0.0,3
31,"[0, 3]",u,0,0.0,0
32,"[0, 2]",d,0,0.0,1
33,"[0, 3]",u,0,0.0,0
34,"[0, 2]",u,0,0.0,0
35,"[0, 1]",d,0,0.0,1
36,"[0, 2]",u,0,0.0,0
37,"[0, 1]",r,0,0.0,3
38,"[0, 1]",l,0,0.0,2
39,"[1, 1]",u,0,0.0,0
40,"[1, 0]",r,0,0.0,3
41,"[0, 0]",l,0,0.0,2
42,"[1, 0]",u,0,0.0,0
43,"[1, 0]",l,0,0.0,2
44,"[2, 0]",u,0,0.0,0
45,"[2, 0]",d,-1,-0.01,1
46,"[0, 0]",d,0,0.0,1
47,"[0, 1]",d,0,0.0,1
48,"[0, 2]",u,0,0.0,0
49,"[0, 1]",r,0,0.0,3
50,"[0, 1]",u,0,0.0,0
51,"[0, 0]",r,0,0.0,3
52,"[0, 0]",d,0,0.0,1
53,"[0, 1]",l,0,0.0,2
